ID_participant,cog_load,pft_stim,first_procedure,operations1.corr,operations1.rt,operations2.corr,operations2.rt,operations3.corr,operations3.rt,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
4,0,PFT16.png,ATT,-,-,1,3.2162201,-,-,f,20,45,28,1,3,5,0
4,0,PFT9.png,ATT,-,-,1,3.1753239,-,-,f,20,45,28,1,3,5,0
4,0,PFT2.png,ATT,1,3.4726175,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT5.png,ATT,1,1.0701409,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT23.png,ATT,-,-,-,-,1,2.6220941,f,20,45,28,1,3,5,0
4,0,PFT6.png,ATT,0,0.9918916,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT18.png,ATT,-,-,-,-,1,3.1874853,f,20,45,28,1,3,5,0
4,0,PFT4.png,ATT,1,2.1794831,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT7.png,ATT,1,1.4319908,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT11.png,ATT,-,-,1,6.0380126,-,-,f,20,45,28,1,3,5,0
4,0,PFT13.png,ATT,-,-,1,2.6633048,-,-,f,20,45,28,1,3,5,0
4,0,PFT3.png,ATT,1,1.2349505,-,-,-,-,f,20,45,28,1,3,5,0
4,0,PFT19.png,ATT,-,-,-,-,1,1.30995,f,20,45,28,1,3,5,0
4,0,PFT21.png,ATT,-,-,-,-,1,1.8790087,f,20,45,28,1,3,5,0
4,0,PFT1.png,ATT,1,1.5261423,-,-,-,-,f,20,45,28,1,3,5,0
11,0,PFT6.png,PFT,1,2.3312495,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT1.png,PFT,1,6.8426813,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT21.png,PFT,-,-,-,-,1,18.8221323,f,18,44,26,1,2,5,0
11,0,PFT15.png,PFT,-,-,1,13.0290502,-,-,f,18,44,26,1,2,5,0
11,0,PFT19.png,PFT,-,-,-,-,1,6.4478135,f,18,44,26,1,2,5,0
11,0,PFT23.png,PFT,-,-,-,-,1,5.8878064,f,18,44,26,1,2,5,0
11,0,PFT17.png,PFT,-,-,-,-,1,11.4914664,f,18,44,26,1,2,5,0
11,0,PFT4.png,PFT,1,2.4754229,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT10.png,PFT,-,-,1,3.1970605,-,-,f,18,44,26,1,2,5,0
11,0,PFT11.png,PFT,-,-,1,3.7167955,-,-,f,18,44,26,1,2,5,0
11,0,PFT2.png,PFT,1,1.375533,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT8.png,PFT,1,1.6127589,-,-,-,-,f,18,44,26,1,2,5,0
