ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
001,0,Bull,Long,Left,low,1,1.4755851,ATT,f,18,59,47,1,4,1,0
001,0,Mole,Short,Right,low,1,2.132658,ATT,f,18,59,47,1,4,1,0
001,0,Camel,Short,Right,medium,1,2.8155584,ATT,f,18,59,47,1,4,1,0
001,0,Fox,Long,Right,high,1,4.8082164,ATT,f,18,59,47,1,4,1,0
001,0,Pig,Short,Right,high,1,2.2029127,ATT,f,18,59,47,1,4,1,0
001,0,Crow,Long,Left,low,0,1.1410099,ATT,f,18,59,47,1,4,1,0
001,0,Bear,Short,Left,low,1,1.8823818,ATT,f,18,59,47,1,4,1,0
001,0,Hippo,Short,Left,low,1,1.6659925,ATT,f,18,59,47,1,4,1,0
001,0,Rhino,Short,Left,low,1,0.8323738,ATT,f,18,59,47,1,4,1,0
001,0,Deer,Short,Left,low,1,0.5639981,ATT,f,18,59,47,1,4,1,0
001,0,Chameleon,Long,Right,high,1,1.4726288,ATT,f,18,59,47,1,4,1,0
001,0,Lamb,Short,Right,medium,1,0.6172754,ATT,f,18,59,47,1,4,1,0
001,0,Lion,Long,Right,high,1,0.7680375,ATT,f,18,59,47,1,4,1,0
001,0,Kangaroo,Long,Left,low,0,1.0395369,ATT,f,18,59,47,1,4,1,0
001,0,Deer,Short,Left,high,1,0.7483132,ATT,f,18,59,47,1,4,1,0
001,0,Mole,Short,Right,high,1,1.2306793,ATT,f,18,59,47,1,4,1,0
001,0,Zebra,Long,Left,high,0,2.2237584,ATT,f,18,59,47,1,4,1,0
001,0,Hippo,Short,Left,medium,1,0.7185396,ATT,f,18,59,47,1,4,1,0
002,0,Horse,Long,Right,medium,1,12.9751689,ATT,f,20,68,43,4,5,7,0
002,0,Giraffe,Long,Left,high,1,6.9238698,ATT,f,20,68,43,4,5,7,0
002,0,Pig,Short,Right,high,1,1.5330425,ATT,f,20,68,43,4,5,7,0
002,0,Horse,Long,Right,low,1,1.9050164,ATT,f,20,68,43,4,5,7,0
002,0,Wolf,Long,Right,low,0,1.5448232,ATT,f,20,68,43,4,5,7,0
002,0,Pig,Short,Right,medium,1,1.2196727,ATT,f,20,68,43,4,5,7,0
002,0,Sheep,Short,Right,high,1,2.7572758,ATT,f,20,68,43,4,5,7,0
002,0,Lamb,Short,Right,high,1,0.9907679,ATT,f,20,68,43,4,5,7,0
002,0,Kangaroo,Long,Left,medium,1,2.400775,ATT,f,20,68,43,4,5,7,0
002,0,Panda,Short,Left,low,1,0.9485787,ATT,f,20,68,43,4,5,7,0
002,0,Rhino,Short,Left,medium,1,0.9678825,ATT,f,20,68,43,4,5,7,0
002,0,Fox,Long,Right,medium,1,1.596637,ATT,f,20,68,43,4,5,7,0
002,0,Chameleon,Long,Right,high,1,2.396826,ATT,f,20,68,43,4,5,7,0
002,0,Lion,Long,Right,high,1,2.3770232,ATT,f,20,68,43,4,5,7,0
002,0,Panda,Short,Left,medium,1,0.8435172,ATT,f,20,68,43,4,5,7,0
002,0,Mole,Short,Right,high,1,5.720899,ATT,f,20,68,43,4,5,7,0
002,0,Deer,Short,Left,high,1,2.2596538,ATT,f,20,68,43,4,5,7,0
002,0,Deer,Short,Left,medium,1,0.6352944,ATT,f,20,68,43,4,5,7,0
002,0,Deer,Short,Left,low,1,0.913466,ATT,f,20,68,43,4,5,7,0
002,0,Goat,Short,Left,high,1,2.1431546,ATT,f,20,68,43,4,5,7,0
002,0,Zebra,Long,Left,medium,0,0.8004264,ATT,f,20,68,43,4,5,7,0
002,0,Camel,Short,Right,low,0,2.2288806,ATT,f,20,68,43,4,5,7,0
002,0,Crow,Long,Left,medium,1,1.9955389,ATT,f,20,68,43,4,5,7,0
002,0,Hippo,Short,Left,low,1,2.1648381,ATT,f,20,68,43,4,5,7,0
002,0,Jaguar,Long,Left,low,1,2.603104,ATT,f,20,68,43,4,5,7,0
002,0,Goat,Short,Left,medium,1,1.0753582,ATT,f,20,68,43,4,5,7,0
002,0,Gazelle,Short,Right,low,1,4.4120551,ATT,f,20,68,43,4,5,7,0
002,0,Kangaroo,Long,Left,high,1,1.8607662,ATT,f,20,68,43,4,5,7,0
002,0,Elephant,Short,Right,high,0,1.7599753,ATT,f,20,68,43,4,5,7,0
002,0,Zebra,Long,Left,high,0,1.2430325,ATT,f,20,68,43,4,5,7,0
002,0,Zebra,Long,Left,low,0,6.385377,ATT,f,20,68,43,4,5,7,0
