ID_participant,cog_load,pft_stim,pft_operations,pft_trial_resp.corr,pft_trial_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment,,,
3,0,PFT24.png,3,0,2.4784846,ATT,f,23,66,53,1,4,5,1,,,
3,0,PFT14.png,2,1,23.5510317,ATT,f,23,66,53,1,4,5,1,,,
4,0,PFT15.png,2,1,2.4615822,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT17.png,3,1,2.5072321,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT22.png,3,0,2.538751,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT12.png,2,0,1.8044605,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT8.png,1,0,2.4996436,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT20.png,3,0,1.7834984,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT24.png,3,0,1.959825,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT10.png,2,1,1.2011601,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT16.png,2,1,3.2162201,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT9.png,2,1,3.1753239,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT2.png,1,1,3.4726175,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT5.png,1,1,1.0701409,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT23.png,3,1,2.6220941,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT6.png,1,0,0.9918916,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT18.png,3,1,3.1874853,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT4.png,1,1,2.1794831,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT7.png,1,1,1.4319908,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT11.png,2,1,6.0380126,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT13.png,2,1,2.6633048,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT3.png,1,1,1.2349505,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT19.png,3,1,1.30995,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT21.png,3,1,1.8790087,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT1.png,1,1,1.5261423,ATT,f,20,45,28,1,3,5,0,,,
4,0,PFT14.png,2,0,2.5685787,ATT,f,20,45,28,1,3,5,0,,,
11,0,PFT6.png,1,1,2.3312495,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT1.png,1,1,6.8426813,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT21.png,3,1,18.8221323,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT15.png,2,1,13.0290502,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT19.png,3,1,6.4478135,PFT,f,18,44,26,1,2,5,0,,,
